transaction_id,customer_id,amount,transaction_type,timestamp
T001,C001,500.0,PURCHASE,2026-08-26 10:00:00
T002,C002,1200.0,PURCHASE,2026-08-26 10:02:00
T003,C001,-100.0,REFUND,2026-08-26 10:05:00
T004,C003,750.0,PURCHASE,2026-08-26 10:10:00
T005,C002,300.0,PURCHASE,2026-08-26 10:12:00
T006,C001,250.0,PURCHASE,2026-08-26 10:15:00
T007,C003,,PURCHASE,2026-08-26 10:20:00
T008,C004,900.0,PURCHASE,2026-08-26 10:25:00
T009,C002,150.0,REFUND,2026-08-26 10:30:00
T010,C004,400.0,PURCHASE,2026-08-26 10:35:00
